DAUID,ONS_ID,pct_overlap,pct_overlap_rnd
35061125,70,1,1
35061122,955,1,1
35060338,24,1,1
35061134,67,0.009433064588722352,0.01
35061134,70,0.18825095419945853,0.19
35061134,85,0.787215248584652,0.79
35061134,944,0.015100732627167166,0.01
35061142,70,0.49605662409614626,0.5
35061142,944,0.5039433759038537,0.5
35061788,908,0.6950429936849097,0.7
35061788,949,0.30495700631509026,0.3
35061792,908,0.9999588739395994,1
35061481,918,0.9999974205238988,1
35061501,30,0.7573737180850458,0.76
35061501,911,0.2426262819149541,0.24
35061507,922,0.8150708520627498,0.82
35061507,930,0.18481007175501415,0.18
35060145,93,0.9840268511546906,0.98
35060145,956,0.015973148845309412,0.02
35060146,93,0.9999678381367969,1
35060147,93,1,1
35060148,3,1,1
35060149,3,1,1
35060150,3,1,1
35060151,3,1,1
35060152,3,1,1
35060153,93,1,1
35060154,93,1,1
35060155,93,1,1
35060156,93,1,1
35060157,93,1,1
35060159,3,1,1
35060163,3,1,1
35060286,82,0.039396006941532766,0.04
35060286,83,0.9606039930584672,0.96
35060287,83,1,1
35060288,83,1,1
35060289,83,1,1
35060290,83,1,1
35060291,83,1,1
35060672,922,0.9589056774084748,0.96
35060672,930,0.041094322591525186,0.04
35060673,930,1,1
35060678,951,1,1
35060679,951,1,1
35060680,951,1,1
35060575,65,1,1
35060576,65,1,1
35060577,65,1,1
35060578,65,1,1
35060579,65,1,1
35060580,99,1,1
35060582,100,1,1
35060585,100,1,1
35060588,100,1,1
35060670,930,1,1
35060590,12,1,1
35060592,54,1,1
35060593,54,0.33324703134167427,0.33
35060593,88,0.6667529686583257,0.67
35060594,54,0.9996251074047258,1
35060595,88,1,1
35060597,12,0.01754390651220144,0.02
35060597,88,0.9824560934877986,0.98
35060598,88,1,1
35060599,88,1,1
35060600,88,1,1
35060602,12,1,1
35060603,12,1,1
35060604,6,1,1
35060605,926,0.009741704408149246,0.01
35060605,6,0.9902250517856681,0.99
35060606,6,1,1
35060607,6,1,1
35060671,930,1,1
35060938,50,0.9197879865418347,0.92
35060938,917,0.08020640386563753,0.08
35060939,50,1,1
35060940,50,1,1
35060941,50,1,1
35060942,50,0.9987013502289851,1
35060944,45,0.9695184385918418,0.97
35060944,50,0.014528937394460461,0.01
35060944,52,0.015952624013697743,0.02
35060945,45,1,1
35060953,50,1,1
35060954,50,1,1
35060955,50,1,1
35060568,927,0.9962293471758068,1
35060569,927,0.9950502432531875,1
35060573,51,0.535650131699378,0.54
35060573,65,0.46207242283204264,0.46
35060838,64,1,1
35060840,64,1,1
35060841,64,0.9519519552432081,0.95
35060841,946,0.048048044756791905,0.05
35060842,64,1,1
35060843,70,0.022025690546919587,0.02
35060843,64,0.9779743094530804,0.98
35060844,70,1,1
35060845,64,1,1
35060860,52,1,1
35060861,52,1,1
35060862,52,1,1
35060864,45,0.9995739366940227,1
35060865,45,1,1
35060866,45,0.9995589656104013,1
35060867,45,0.9996167185817606,1
35061186,931,1,1
35060956,50,1,1
35060957,917,0.37243277279541104,0.37
35060957,919,0.627567227204589,0.63
35060961,919,1,1
35060968,919,0.7919437292027564,0.79
35060968,947,0.20805627079724368,0.21
35061159,938,1,1
35061160,922,1,1
35061161,922,0.26320612064180826,0.26
35061161,930,0.7367938793581917,0.74
35061171,906,1,1
35061174,910,1,1
35061175,910,1,1
35061178,106,1,1
35061179,910,1,1
35061180,910,1,1
35061181,910,1,1
35061182,931,1,1
35061183,931,1,1
35061184,931,1,1
35061185,931,1,1
35061188,910,1,1
35061189,910,1,1
35061190,910,1,1
35061191,910,1,1
35061192,106,1,1
35061193,106,1,1
35061194,106,1,1
35061195,106,1,1
35061196,906,1,1
35061197,906,1,1
35061198,106,1,1
35061201,106,1,1
35061202,106,1,1
35061203,106,0.9737968824773369,0.97
35061203,901,0.02620311752266309,0.03
35061204,106,1,1
35061208,12,0.900668070163545,0.9
35061208,23,0.09933192983645503,0.1
35060237,940,1,1
35060243,933,1,1
35060246,934,1,1
35060249,908,1,1
35060251,908,1,1
35060252,908,1,1
35060253,908,1,1
35060254,908,1,1
35060255,908,1,1
35060264,949,1,1
35060267,949,1,1
35060280,82,1,1
35060282,82,0.9138775428101975,0.91
35060282,83,0.0861224571898025,0.09
35060283,83,0.995124677094365,1
35060285,83,1,1
35060132,915,1,1
35060133,915,1,1
35060134,926,0.2547497094376438,0.26
35060134,77,0.3136215132776617,0.31
35060134,915,0.4316287772846945,0.43
35060135,93,1,1
35060137,93,1,1
35060138,93,1,1
35060139,93,1,1
35060140,93,1,1
35060141,93,1,1
35060143,93,1,1
35060144,93,1,1
35060574,65,1,1
35061540,951,1,1
35061541,951,1,1
35061542,951,0.9989584571240208,1
35061543,951,1,1
35061544,928,1,1
35061545,928,1,1
35061546,13,1,1
35061547,13,1,1
35061548,28,0.999487102354489,1
35061549,28,1,1
35061550,28,1,1
35061551,28,1,1
35061737,946,1,1
35061738,946,1,1
35061739,946,1,1
35061740,946,1,1
35061741,946,1,1
35061742,946,1,1
35061743,946,1,1
35061744,946,1,1
35061745,946,1,1
35061746,946,1,1
35061747,946,1,1
