iteration,metric,value
1,mae,64.67592592592592
2,mae,64.67592592592592
3,mae,64.67592592592592
4,mae,64.67592592592592
5,mae,64.67592592592592
6,mae,64.67592592592592
7,mae,64.67592592592592
8,mae,64.67592592592592
9,mae,64.12037037037037
10,mae,64.12037037037037
11,mae,64.12037037037037
12,mae,64.12037037037037
13,mae,64.12037037037037
14,mae,64.12037037037037
15,mae,64.12037037037037
16,mae,64.12037037037037
17,mae,64.12037037037037
18,mae,64.12037037037037
19,mae,64.12037037037037
20,mae,64.12037037037037
21,mae,64.12037037037037
22,mae,64.12037037037037
23,mae,64.12037037037037
24,mae,64.12037037037037
25,mae,64.12037037037037
26,mae,64.12037037037037
27,mae,64.12037037037037
28,mae,64.12037037037037
29,mae,64.12037037037037
30,mae,64.12037037037037
31,mae,64.12037037037037
32,mae,64.12037037037037
33,mae,64.12037037037037
34,mae,64.12037037037037
35,mae,64.12037037037037
36,mae,64.12037037037037
37,mae,64.12037037037037
38,mae,64.12037037037037
39,mae,64.12037037037037
40,mae,64.12037037037037
41,mae,64.12037037037037
42,mae,64.12037037037037
43,mae,64.12037037037037
44,mae,64.12037037037037
45,mae,64.12037037037037
46,mae,64.12037037037037
47,mae,64.12037037037037
48,mae,64.12037037037037
49,mae,64.12037037037037
50,mae,64.12037037037037
51,mae,64.12037037037037
52,mae,64.12037037037037
53,mae,64.12037037037037
54,mae,64.12037037037037
55,mae,64.12037037037037
56,mae,64.12037037037037
57,mae,64.12037037037037
58,mae,64.12037037037037
59,mae,64.12037037037037
60,mae,64.12037037037037
61,mae,64.12037037037037
62,mae,64.12037037037037
63,mae,64.12037037037037
64,mae,64.12037037037037
65,mae,64.12037037037037
66,mae,64.12037037037037
67,mae,64.12037037037037
68,mae,64.12037037037037
69,mae,64.12037037037037
70,mae,64.12037037037037
71,mae,64.12037037037037
72,mae,64.12037037037037
73,mae,64.12037037037037
74,mae,64.12037037037037
75,mae,64.12037037037037
76,mae,64.12037037037037
77,mae,64.12037037037037
78,mae,64.12037037037037
79,mae,64.12037037037037
80,mae,64.12037037037037
81,mae,64.12037037037037
82,mae,64.12037037037037
83,mae,64.12037037037037
84,mae,64.12037037037037
85,mae,64.12037037037037
86,mae,64.12037037037037
87,mae,64.12037037037037
88,mae,64.12037037037037
89,mae,64.12037037037037
90,mae,64.12037037037037
91,mae,64.12037037037037
92,mae,64.12037037037037
93,mae,64.12037037037037
94,mae,63.93518518518518
95,mae,63.93518518518518
96,mae,63.93518518518518
97,mae,61.620370370370374
98,mae,61.620370370370374
99,mae,61.620370370370374
100,mae,61.620370370370374
101,mae,61.620370370370374
102,mae,61.620370370370374
103,mae,61.620370370370374
104,mae,61.620370370370374
105,mae,61.620370370370374
106,mae,61.620370370370374
107,mae,61.620370370370374
108,mae,61.620370370370374
109,mae,61.620370370370374
110,mae,61.620370370370374
111,mae,61.620370370370374
