iteration,metric,value
1,mae,167.08333333333334
2,mae,163.47222222222223
3,mae,138.28703703703704
4,mae,138.28703703703704
5,mae,138.28703703703704
6,mae,138.00925925925927
7,mae,134.7685185185185
8,mae,134.30555555555554
9,mae,134.30555555555554
10,mae,134.30555555555554
11,mae,134.12037037037038
12,mae,134.12037037037038
13,mae,134.12037037037038
14,mae,134.12037037037038
15,mae,130.2314814814815
16,mae,130.13888888888889
17,mae,130.0462962962963
18,mae,130.0462962962963
19,mae,130.0462962962963
20,mae,128.9351851851852
21,mae,128.9351851851852
22,mae,128.9351851851852
23,mae,128.9351851851852
24,mae,126.1574074074074
25,mae,124.02777777777777
26,mae,124.02777777777777
27,mae,124.02777777777777
28,mae,124.02777777777777
29,mae,124.02777777777777
30,mae,123.47222222222223
31,mae,111.25
32,mae,111.25
33,mae,111.25
34,mae,111.25
35,mae,111.25
36,mae,111.06481481481481
37,mae,109.30555555555556
38,mae,108.56481481481481
39,mae,108.56481481481481
40,mae,108.56481481481481
41,mae,108.56481481481481
42,mae,108.56481481481481
43,mae,108.56481481481481
44,mae,105.04629629629629
45,mae,105.04629629629629
46,mae,104.39814814814815
47,mae,104.12037037037037
48,mae,104.12037037037037
49,mae,102.73148148148148
50,mae,102.73148148148148
51,mae,101.43518518518519
52,mae,101.43518518518519
53,mae,101.43518518518519
54,mae,101.43518518518519
55,mae,101.43518518518519
56,mae,99.12037037037037
57,mae,101.43518518518519
58,mae,101.43518518518519
59,mae,101.43518518518519
60,mae,101.43518518518519
61,mae,101.43518518518519
62,mae,100.13888888888889
63,mae,100.13888888888889
64,mae,100.13888888888889
65,mae,100.13888888888889
66,mae,98.8425925925926
67,mae,98.8425925925926
68,mae,98.8425925925926
69,mae,98.8425925925926
70,mae,98.8425925925926
71,mae,98.8425925925926
72,mae,98.8425925925926
73,mae,98.8425925925926
74,mae,98.8425925925926
75,mae,98.8425925925926
76,mae,98.8425925925926
77,mae,98.8425925925926
78,mae,98.8425925925926
79,mae,98.8425925925926
80,mae,93.37962962962963
81,mae,93.37962962962963
82,mae,93.37962962962963
83,mae,93.37962962962963
84,mae,89.30555555555556
85,mae,89.30555555555556
86,mae,89.30555555555556
87,mae,89.30555555555556
88,mae,89.30555555555556
89,mae,87.63888888888889
90,mae,83.8425925925926
91,mae,83.8425925925926
92,mae,83.8425925925926
93,mae,83.8425925925926
94,mae,80.87962962962963
95,mae,80.87962962962963
96,mae,80.87962962962963
97,mae,80.87962962962963
98,mae,80.87962962962963
99,mae,80.87962962962963
100,mae,80.87962962962963
101,mae,80.13888888888889
102,mae,80.13888888888889
103,mae,80.13888888888889
104,mae,80.13888888888889
105,mae,80.13888888888889
106,mae,80.13888888888889
107,mae,79.49074074074075
108,mae,79.49074074074075
109,mae,79.49074074074075
110,mae,79.49074074074075
111,mae,79.49074074074075
