iteration,metric,value
1,mae,166.2962962962963
2,mae,162.6851851851852
3,mae,140.09259259259258
4,mae,140.09259259259258
5,mae,140.09259259259258
6,mae,139.8148148148148
7,mae,136.57407407407408
8,mae,136.11111111111111
9,mae,136.11111111111111
10,mae,136.11111111111111
11,mae,135.92592592592592
12,mae,134.72222222222223
13,mae,134.72222222222223
14,mae,134.72222222222223
15,mae,131.0185185185185
16,mae,130.92592592592592
17,mae,130.83333333333334
18,mae,130.83333333333334
19,mae,130.83333333333334
20,mae,129.72222222222223
21,mae,129.72222222222223
22,mae,129.72222222222223
23,mae,129.72222222222223
24,mae,126.94444444444444
25,mae,124.81481481481481
26,mae,124.81481481481481
27,mae,124.81481481481481
28,mae,124.81481481481481
29,mae,124.81481481481481
30,mae,124.25925925925925
31,mae,112.03703703703704
32,mae,112.03703703703704
33,mae,112.03703703703704
34,mae,112.03703703703704
35,mae,112.03703703703704
36,mae,111.85185185185185
37,mae,110.0925925925926
38,mae,110
39,mae,110
40,mae,110
41,mae,110
42,mae,110
43,mae,110
44,mae,109.25925925925925
45,mae,109.25925925925925
46,mae,108.61111111111111
47,mae,108.33333333333333
48,mae,108.33333333333333
49,mae,106.94444444444444
50,mae,106.94444444444444
51,mae,105.64814814814815
52,mae,105.64814814814815
53,mae,105.64814814814815
54,mae,105.64814814814815
55,mae,105.55555555555556
56,mae,105.55555555555556
57,mae,105.55555555555556
58,mae,105.55555555555556
59,mae,105.55555555555556
60,mae,105.55555555555556
61,mae,105.55555555555556
62,mae,102.4074074074074
63,mae,102.4074074074074
64,mae,102.4074074074074
65,mae,102.4074074074074
66,mae,101.11111111111111
67,mae,101.11111111111111
68,mae,101.11111111111111
69,mae,100.0925925925926
70,mae,100
71,mae,100
72,mae,97.22222222222223
73,mae,97.22222222222223
74,mae,97.22222222222223
75,mae,97.22222222222223
76,mae,97.22222222222223
77,mae,97.22222222222223
78,mae,97.22222222222223
79,mae,97.22222222222223
80,mae,92.4074074074074
81,mae,92.4074074074074
82,mae,92.4074074074074
83,mae,90.37037037037037
84,mae,90.37037037037037
85,mae,90.37037037037037
86,mae,89.72222222222223
87,mae,89.72222222222223
88,mae,89.72222222222223
89,mae,85.55555555555556
90,mae,85.55555555555556
91,mae,85.55555555555556
92,mae,85.55555555555556
93,mae,85.55555555555556
94,mae,85.55555555555556
95,mae,85.55555555555556
96,mae,85.55555555555556
97,mae,85.46296296296296
98,mae,85.46296296296296
99,mae,85.46296296296296
100,mae,85
101,mae,85
102,mae,85
103,mae,85
104,mae,85
105,mae,85
106,mae,85
107,mae,84.35185185185185
108,mae,84.35185185185185
109,mae,84.35185185185185
110,mae,84.35185185185185
111,mae,83.05555555555556
