iteration,metric,value
1,mse,17149.074074074073
2,mse,17149.074074074073
3,mse,17149.074074074073
4,mse,17149.074074074073
5,mse,17149.074074074073
6,mse,17149.074074074073
7,mse,17149.074074074073
8,mse,17149.074074074073
9,mse,17149.074074074073
10,mse,17149.074074074073
11,mse,17149.074074074073
12,mse,17149.074074074073
13,mse,17149.074074074073
14,mse,17149.074074074073
15,mse,17149.074074074073
16,mse,16941.666666666668
17,mse,16941.666666666668
18,mse,16941.666666666668
19,mse,16941.666666666668
20,mse,16941.666666666668
21,mse,16941.666666666668
22,mse,16941.666666666668
23,mse,16941.666666666668
24,mse,16941.666666666668
25,mse,16941.666666666668
26,mse,16941.666666666668
27,mse,16154.62962962963
28,mse,16154.62962962963
29,mse,16154.62962962963
30,mse,15321.296296296296
31,mse,15321.296296296296
32,mse,15321.296296296296
33,mse,15321.296296296296
34,mse,15321.296296296296
35,mse,14999.074074074075
36,mse,14999.074074074075
37,mse,14999.074074074075
38,mse,14543.518518518518
39,mse,14543.518518518518
40,mse,14472.222222222223
41,mse,14472.222222222223
42,mse,14472.222222222223
43,mse,14472.222222222223
44,mse,14472.222222222223
45,mse,14472.222222222223
46,mse,14472.222222222223
47,mse,12770.833333333334
48,mse,12770.833333333334
49,mse,12770.833333333334
50,mse,12770.833333333334
51,mse,12770.833333333334
52,mse,12770.833333333334
53,mse,12770.833333333334
54,mse,12770.833333333334
55,mse,12770.833333333334
56,mse,12770.833333333334
57,mse,12770.833333333334
58,mse,12770.833333333334
59,mse,12770.833333333334
60,mse,12770.833333333334
61,mse,12770.833333333334
62,mse,12770.833333333334
63,mse,12770.833333333334
64,mse,12770.833333333334
65,mse,12770.833333333334
66,mse,12770.833333333334
67,mse,12770.833333333334
68,mse,12770.833333333334
69,mse,12770.833333333334
70,mse,12770.833333333334
71,mse,12770.833333333334
72,mse,12740.277777777777
73,mse,12740.277777777777
74,mse,12740.277777777777
75,mse,12740.277777777777
76,mse,12740.277777777777
77,mse,12740.277777777777
78,mse,12740.277777777777
79,mse,12740.277777777777
80,mse,12740.277777777777
81,mse,12740.277777777777
82,mse,12740.277777777777
83,mse,12740.277777777777
84,mse,12740.277777777777
85,mse,12740.277777777777
86,mse,12740.277777777777
87,mse,12740.277777777777
88,mse,12740.277777777777
89,mse,12740.277777777777
90,mse,12740.277777777777
91,mse,12740.277777777777
92,mse,12740.277777777777
93,mse,12740.277777777777
94,mse,12740.277777777777
95,mse,12740.277777777777
96,mse,12740.277777777777
97,mse,12740.277777777777
98,mse,12740.277777777777
99,mse,12740.277777777777
100,mse,12740.277777777777
101,mse,12740.277777777777
102,mse,12740.277777777777
103,mse,12740.277777777777
104,mse,12740.277777777777
105,mse,12740.277777777777
106,mse,12740.277777777777
107,mse,12339.351851851852
108,mse,12339.351851851852
109,mse,12339.351851851852
110,mse,12339.351851851852
111,mse,12339.351851851852
