iteration,metric,value
1,mse,12503.935185185184
2,mse,12503.935185185184
3,mse,12503.935185185184
4,mse,12503.935185185184
5,mse,12503.935185185184
6,mse,12503.935185185184
7,mse,12503.935185185184
8,mse,12503.935185185184
9,mse,12503.935185185184
10,mse,12503.935185185184
11,mse,12503.935185185184
12,mse,12503.935185185184
13,mse,12503.935185185184
14,mse,12503.935185185184
15,mse,12503.935185185184
16,mse,12503.935185185184
17,mse,12503.935185185184
18,mse,12503.935185185184
19,mse,12503.935185185184
20,mse,12503.935185185184
21,mse,12503.935185185184
22,mse,12503.935185185184
23,mse,12503.935185185184
24,mse,12503.935185185184
25,mse,12503.935185185184
26,mse,12503.935185185184
27,mse,12503.935185185184
28,mse,12503.935185185184
29,mse,12503.935185185184
30,mse,12503.935185185184
31,mse,12503.935185185184
32,mse,12503.935185185184
33,mse,12503.935185185184
34,mse,12503.935185185184
35,mse,12503.935185185184
36,mse,12503.935185185184
37,mse,12503.935185185184
38,mse,12503.935185185184
39,mse,12503.935185185184
40,mse,12503.935185185184
41,mse,12503.935185185184
42,mse,12503.935185185184
43,mse,12503.935185185184
44,mse,12503.935185185184
45,mse,12503.935185185184
46,mse,12503.935185185184
47,mse,12503.935185185184
48,mse,12503.935185185184
49,mse,12503.935185185184
50,mse,12503.935185185184
51,mse,12503.935185185184
52,mse,12503.935185185184
53,mse,12503.935185185184
54,mse,12503.935185185184
55,mse,12503.935185185184
56,mse,12503.935185185184
57,mse,12503.935185185184
58,mse,12503.935185185184
59,mse,12503.935185185184
60,mse,12503.935185185184
61,mse,12503.935185185184
62,mse,12503.935185185184
63,mse,12503.935185185184
64,mse,12503.935185185184
65,mse,12503.935185185184
66,mse,12503.935185185184
67,mse,12503.935185185184
68,mse,12503.935185185184
69,mse,12503.935185185184
70,mse,12503.935185185184
71,mse,12503.935185185184
72,mse,12503.935185185184
73,mse,12503.935185185184
74,mse,12503.935185185184
75,mse,12503.935185185184
76,mse,12503.935185185184
77,mse,12503.935185185184
78,mse,12503.935185185184
79,mse,12503.935185185184
80,mse,12503.935185185184
81,mse,12503.935185185184
82,mse,12503.935185185184
83,mse,12503.935185185184
84,mse,12503.935185185184
85,mse,12503.935185185184
86,mse,12503.935185185184
87,mse,12503.935185185184
88,mse,12503.935185185184
89,mse,12503.935185185184
90,mse,12503.935185185184
91,mse,12503.935185185184
92,mse,12503.935185185184
93,mse,12503.935185185184
94,mse,12503.935185185184
95,mse,12503.935185185184
96,mse,12503.935185185184
97,mse,12503.935185185184
98,mse,12503.935185185184
99,mse,12503.935185185184
100,mse,12503.935185185184
101,mse,12503.935185185184
102,mse,12503.935185185184
103,mse,12503.935185185184
104,mse,12503.935185185184
105,mse,12503.935185185184
106,mse,12503.935185185184
107,mse,12503.935185185184
108,mse,12503.935185185184
109,mse,12503.935185185184
110,mse,12503.935185185184
111,mse,12503.935185185184
