iteration,metric,value
1,mse,17313.65740740741
2,mse,17313.65740740741
3,mse,17313.65740740741
4,mse,17313.65740740741
5,mse,17313.65740740741
6,mse,17313.65740740741
7,mse,17313.65740740741
8,mse,17313.65740740741
9,mse,17313.65740740741
10,mse,17313.65740740741
11,mse,17313.65740740741
12,mse,17313.65740740741
13,mse,17313.65740740741
14,mse,17313.65740740741
15,mse,17313.65740740741
16,mse,17106.25
17,mse,17106.25
18,mse,17106.25
19,mse,17106.25
20,mse,17106.25
21,mse,17106.25
22,mse,17106.25
23,mse,17106.25
24,mse,17106.25
25,mse,17106.25
26,mse,17106.25
27,mse,16319.212962962964
28,mse,16319.212962962964
29,mse,16319.212962962964
30,mse,15485.87962962963
31,mse,15485.87962962963
32,mse,15485.87962962963
33,mse,15485.87962962963
34,mse,15485.87962962963
35,mse,15163.657407407407
36,mse,15163.657407407407
37,mse,15163.657407407407
38,mse,14708.101851851852
39,mse,14708.101851851852
40,mse,14636.805555555555
41,mse,14636.805555555555
42,mse,14636.805555555555
43,mse,14636.805555555555
44,mse,14636.805555555555
45,mse,14636.805555555555
46,mse,14636.805555555555
47,mse,12935.416666666666
48,mse,12935.416666666666
49,mse,12935.416666666666
50,mse,12935.416666666666
51,mse,12935.416666666666
52,mse,12935.416666666666
53,mse,12935.416666666666
54,mse,12935.416666666666
55,mse,12935.416666666666
56,mse,12935.416666666666
57,mse,12935.416666666666
58,mse,12935.416666666666
59,mse,12935.416666666666
60,mse,12935.416666666666
61,mse,12935.416666666666
62,mse,12935.416666666666
63,mse,12935.416666666666
64,mse,12935.416666666666
65,mse,12935.416666666666
66,mse,12935.416666666666
67,mse,12935.416666666666
68,mse,12935.416666666666
69,mse,12935.416666666666
70,mse,12935.416666666666
71,mse,12935.416666666666
72,mse,12904.861111111111
73,mse,12904.861111111111
74,mse,12904.861111111111
75,mse,12904.861111111111
76,mse,12904.861111111111
77,mse,12904.861111111111
78,mse,12904.861111111111
79,mse,12904.861111111111
80,mse,12904.861111111111
81,mse,12904.861111111111
82,mse,12904.861111111111
83,mse,12904.861111111111
84,mse,12904.861111111111
85,mse,12904.861111111111
86,mse,12904.861111111111
87,mse,12904.861111111111
88,mse,12904.861111111111
89,mse,12904.861111111111
90,mse,12904.861111111111
91,mse,12904.861111111111
92,mse,12904.861111111111
93,mse,12904.861111111111
94,mse,12904.861111111111
95,mse,12904.861111111111
96,mse,12904.861111111111
97,mse,12904.861111111111
98,mse,12904.861111111111
99,mse,12904.861111111111
100,mse,12904.861111111111
101,mse,12904.861111111111
102,mse,12904.861111111111
103,mse,12904.861111111111
104,mse,12904.861111111111
105,mse,12904.861111111111
106,mse,12904.861111111111
107,mse,12503.935185185184
108,mse,12503.935185185184
109,mse,12503.935185185184
110,mse,12503.935185185184
111,mse,12503.935185185184
