iteration,metric,value
1,mse,12339.351851851852
2,mse,12339.351851851852
3,mse,12339.351851851852
4,mse,12339.351851851852
5,mse,12339.351851851852
6,mse,12339.351851851852
7,mse,12339.351851851852
8,mse,12339.351851851852
9,mse,12339.351851851852
10,mse,12339.351851851852
11,mse,12339.351851851852
12,mse,12339.351851851852
13,mse,12339.351851851852
14,mse,12339.351851851852
15,mse,12339.351851851852
16,mse,12339.351851851852
17,mse,12339.351851851852
18,mse,12339.351851851852
19,mse,12339.351851851852
20,mse,12339.351851851852
21,mse,12339.351851851852
22,mse,12339.351851851852
23,mse,12339.351851851852
24,mse,12339.351851851852
25,mse,12339.351851851852
26,mse,12339.351851851852
27,mse,12339.351851851852
28,mse,12339.351851851852
29,mse,12339.351851851852
30,mse,12339.351851851852
31,mse,12339.351851851852
32,mse,12339.351851851852
33,mse,12339.351851851852
34,mse,12339.351851851852
35,mse,12339.351851851852
36,mse,12339.351851851852
37,mse,12339.351851851852
38,mse,12339.351851851852
39,mse,12339.351851851852
40,mse,12339.351851851852
41,mse,12339.351851851852
42,mse,12339.351851851852
43,mse,12339.351851851852
44,mse,12339.351851851852
45,mse,12339.351851851852
46,mse,12339.351851851852
47,mse,12339.351851851852
48,mse,12339.351851851852
49,mse,12339.351851851852
50,mse,12339.351851851852
51,mse,12339.351851851852
52,mse,12339.351851851852
53,mse,12339.351851851852
54,mse,12339.351851851852
55,mse,12339.351851851852
56,mse,12339.351851851852
57,mse,12339.351851851852
58,mse,12339.351851851852
59,mse,12339.351851851852
60,mse,12339.351851851852
61,mse,12339.351851851852
62,mse,12339.351851851852
63,mse,12339.351851851852
64,mse,12339.351851851852
65,mse,12339.351851851852
66,mse,12339.351851851852
67,mse,12339.351851851852
68,mse,12339.351851851852
69,mse,12339.351851851852
70,mse,12339.351851851852
71,mse,12339.351851851852
72,mse,12339.351851851852
73,mse,12339.351851851852
74,mse,12339.351851851852
75,mse,12339.351851851852
76,mse,12339.351851851852
77,mse,12339.351851851852
78,mse,12339.351851851852
79,mse,12339.351851851852
80,mse,12339.351851851852
81,mse,12339.351851851852
82,mse,12339.351851851852
83,mse,12339.351851851852
84,mse,12339.351851851852
85,mse,12339.351851851852
86,mse,12339.351851851852
87,mse,12339.351851851852
88,mse,12339.351851851852
89,mse,12339.351851851852
90,mse,12339.351851851852
91,mse,12339.351851851852
92,mse,12339.351851851852
93,mse,12339.351851851852
94,mse,12339.351851851852
95,mse,12339.351851851852
96,mse,12339.351851851852
97,mse,12339.351851851852
98,mse,12339.351851851852
99,mse,12339.351851851852
100,mse,12339.351851851852
101,mse,12339.351851851852
102,mse,12339.351851851852
103,mse,12339.351851851852
104,mse,12339.351851851852
105,mse,12339.351851851852
106,mse,12339.351851851852
107,mse,12339.351851851852
108,mse,12339.351851851852
109,mse,12339.351851851852
110,mse,12339.351851851852
111,mse,12339.351851851852
