iteration,metric,value
1,mse,97228.70370370371
2,mse,97156.48148148147
3,mse,97156.48148148147
4,mse,96347.22222222222
5,mse,96201.38888888889
6,mse,96138.42592592593
7,mse,96138.42592592593
8,mse,92754.62962962964
9,mse,89986.11111111111
10,mse,67007.4074074074
11,mse,64300.92592592593
12,mse,64300.92592592593
13,mse,59747.22222222222
14,mse,59322.22222222222
15,mse,59219.444444444445
16,mse,52910.648148148146
17,mse,52857.40740740741
18,mse,52857.40740740741
19,mse,52857.40740740741
20,mse,50857.40740740741
21,mse,50857.40740740741
22,mse,48743.98148148148
23,mse,48743.98148148148
24,mse,48485.648148148146
25,mse,48485.648148148146
26,mse,48485.648148148146
27,mse,48271.75925925926
28,mse,48271.75925925926
29,mse,48271.75925925926
30,mse,48271.75925925926
31,mse,48271.75925925926
32,mse,48271.75925925926
33,mse,43213.88888888889
34,mse,43213.88888888889
35,mse,43118.055555555555
36,mse,43118.055555555555
37,mse,42918.055555555555
38,mse,41693.055555555555
39,mse,41693.055555555555
40,mse,41693.055555555555
41,mse,41324.53703703704
42,mse,41324.53703703704
43,mse,41324.53703703704
44,mse,41181.01851851852
45,mse,41181.01851851852
46,mse,41181.01851851852
47,mse,40914.351851851854
48,mse,33004.62962962963
49,mse,31437.962962962964
50,mse,31437.962962962964
51,mse,27933.796296296296
52,mse,27933.796296296296
53,mse,27933.796296296296
54,mse,27933.796296296296
55,mse,27933.796296296296
56,mse,27933.796296296296
57,mse,27933.796296296296
58,mse,27933.796296296296
59,mse,27933.796296296296
60,mse,27806.48148148148
61,mse,27806.48148148148
62,mse,27780.555555555555
63,mse,27780.555555555555
64,mse,27751.85185185185
65,mse,27751.85185185185
66,mse,27751.85185185185
67,mse,27751.85185185185
68,mse,27246.296296296296
69,mse,27246.296296296296
70,mse,27246.296296296296
71,mse,25190.74074074074
72,mse,25068.51851851852
73,mse,25068.51851851852
74,mse,25068.51851851852
75,mse,25068.51851851852
76,mse,25026.85185185185
77,mse,24954.62962962963
78,mse,24954.62962962963
79,mse,24954.62962962963
80,mse,24954.62962962963
81,mse,24954.62962962963
82,mse,24954.62962962963
83,mse,24954.62962962963
84,mse,24017.59259259259
85,mse,24017.59259259259
86,mse,23874.074074074073
87,mse,23874.074074074073
88,mse,23699.537037037036
89,mse,23699.537037037036
90,mse,23538.425925925927
91,mse,23538.425925925927
92,mse,18402.314814814814
93,mse,18402.314814814814
94,mse,18402.314814814814
95,mse,18402.314814814814
96,mse,18402.314814814814
97,mse,18402.314814814814
98,mse,18402.314814814814
99,mse,18402.314814814814
100,mse,18402.314814814814
101,mse,18402.314814814814
102,mse,18402.314814814814
103,mse,18402.314814814814
104,mse,18402.314814814814
105,mse,18402.314814814814
106,mse,18402.314814814814
107,mse,17216.203703703704
108,mse,17216.203703703704
109,mse,17216.203703703704
110,mse,17149.074074074073
111,mse,17149.074074074073
